frame_file,ts_ms,ts_us,key_events
frame_000001.png,1765871406806.000,1765871406806000,1765871407047105:down:Key.cmd
frame_000002.png,1765871406848.000,1765871406848000,1765871407094504:down:Key.tab
frame_000003.png,1765871406911.000,1765871406911000,
frame_000004.png,1765871406937.000,1765871406937000,
frame_000005.png,1765871406976.000,1765871406976000,
frame_000006.png,1765871407015.000,1765871407015000,
frame_000007.png,1765871407048.000,1765871407048000,
frame_000008.png,1765871407073.000,1765871407073000,
frame_000009.png,1765871407112.000,1765871407112000,1765871407806638:down:Key.tab
frame_000010.png,1765871407141.000,1765871407141000,
frame_000011.png,1765871407178.000,1765871407178000,
frame_000012.png,1765871407213.000,1765871407213000,
frame_000013.png,1765871407246.000,1765871407246000,
frame_000014.png,1765871407284.000,1765871407284000,
frame_000015.png,1765871407308.000,1765871407308000,
frame_000016.png,1765871407344.000,1765871407344000,
frame_000017.png,1765871407370.000,1765871407370000,
frame_000018.png,1765871407408.000,1765871407408000,1765871408087318:down:Key.cmd
frame_000019.png,1765871407446.000,1765871407446000,
frame_000020.png,1765871407474.000,1765871407474000,
frame_000021.png,1765871407512.000,1765871407512000,
frame_000022.png,1765871407549.000,1765871407549000,
frame_000023.png,1765871407581.000,1765871407581000,
frame_000024.png,1765871407616.000,1765871407616000,
frame_000025.png,1765871407697.000,1765871407697000,
frame_000026.png,1765871407724.000,1765871407724000,
frame_000027.png,1765871407778.000,1765871407778000,
frame_000028.png,1765871407805.000,1765871407805000,
frame_000029.png,1765871407841.000,1765871407841000,
frame_000030.png,1765871407879.000,1765871407879000,
frame_000031.png,1765871407909.000,1765871407909000,
frame_000032.png,1765871407958.000,1765871407958000,
frame_000033.png,1765871408019.000,1765871408019000,
frame_000034.png,1765871408049.000,1765871408049000,
frame_000035.png,1765871408067.000,1765871408067000,
frame_000036.png,1765871408091.000,1765871408091000,
frame_000037.png,1765871408111.000,1765871408111000,
frame_000038.png,1765871408149.000,1765871408149000,
frame_000039.png,1765871408186.000,1765871408186000,
frame_000040.png,1765871408289.000,1765871408289000,
frame_000041.png,1765871408747.000,1765871408747000,
frame_000042.png,1765871408773.000,1765871408773000,
frame_000043.png,1765871408812.000,1765871408812000,
frame_000044.png,1765871409316.000,1765871409316000,
frame_000045.png,1765871409380.000,1765871409380000,
frame_000046.png,1765871409814.000,1765871409814000,
frame_000047.png,1765871410303.000,1765871410303000,
frame_000048.png,1765871410813.000,1765871410813000,1765871411123893:down:t
frame_000049.png,1765871411244.000,1765871411244000,1765871411730637:down:u
frame_000050.png,1765871411576.000,1765871411576000,1765871412107776:down:s
frame_000051.png,1765871411703.000,1765871411703000,
frame_000052.png,1765871411814.000,1765871411814000,1765871412444260:down:h
frame_000053.png,1765871411839.000,1765871411839000,
frame_000054.png,1765871412106.000,1765871412106000,1765871412552058:down:a
frame_000055.png,1765871412181.000,1765871412181000,1765871412656260:down:r
frame_000056.png,1765871412217.000,1765871412217000,1765871412911644:down:Key.shift
frame_000057.png,1765871412270.000,1765871412270000,
frame_000058.png,1765871412345.000,1765871412345000,
frame_000059.png,1765871412543.000,1765871412543000,
frame_000060.png,1765871412580.000,1765871412580000,
frame_000061.png,1765871412644.000,1765871412644000,
frame_000062.png,1765871412744.000,1765871412744000,
frame_000063.png,1765871412872.000,1765871412872000,
frame_000064.png,1765871412973.000,1765871412973000,1765871413631630:down:1
frame_000065.png,1765871413111.000,1765871413111000,1765871413699266:down:3
frame_000066.png,1765871413213.000,1765871413213000,
frame_000067.png,1765871413237.000,1765871413237000,
frame_000068.png,1765871413340.000,1765871413340000,1765871413981191:down:9
frame_000069.png,1765871413441.000,1765871413441000,1765871414037290:down:1
frame_000070.png,1765871413710.000,1765871413710000,1765871414237121:down:Key.shift
frame_000071.png,1765871413748.000,1765871413748000,1765871414332229:down:@
frame_000072.png,1765871413772.000,1765871413772000,
frame_000073.png,1765871414045.000,1765871414045000,1765871414707086:down:g
frame_000074.png,1765871414070.000,1765871414070000,
frame_000075.png,1765871414108.000,1765871414108000,
frame_000076.png,1765871414309.000,1765871414309000,1765871414854330:down:m
frame_000077.png,1765871414410.000,1765871414410000,1765871414974199:down:a
frame_000078.png,1765871414548.000,1765871414548000,1765871415062524:down:i
frame_000079.png,1765871414776.000,1765871414776000,1765871415147243:down:l
frame_000080.png,1765871414814.000,1765871414814000,1765871415308178:down:.
frame_000081.png,1765871414939.000,1765871414939000,1765871415379596:down:c
frame_000082.png,1765871415039.000,1765871415039000,1765871415503497:down:o
frame_000083.png,1765871415141.000,1765871415141000,1765871415559669:down:m
frame_000084.png,1765871415213.000,1765871415213000,1765871415868400:down:Key.enter
frame_000085.png,1765871415251.000,1765871415251000,
frame_000086.png,1765871415315.000,1765871415315000,
frame_000087.png,1765871415381.000,1765871415381000,
frame_000088.png,1765871415407.000,1765871415407000,
frame_000089.png,1765871415480.000,1765871415480000,
frame_000090.png,1765871415546.000,1765871415546000,
frame_000091.png,1765871415573.000,1765871415573000,
frame_000092.png,1765871415637.000,1765871415637000,
frame_000093.png,1765871415776.000,1765871415776000,
frame_000094.png,1765871415878.000,1765871415878000,
frame_000095.png,1765871416023.000,1765871416023000,
frame_000096.png,1765871416045.000,1765871416045000,
frame_000097.png,1765871416061.000,1765871416061000,
frame_000098.png,1765871416090.000,1765871416090000,
frame_000099.png,1765871416137.000,1765871416137000,
frame_000100.png,1765871416169.000,1765871416169000,
frame_000101.png,1765871416286.000,1765871416286000,
frame_000102.png,1765871416322.000,1765871416322000,
frame_000103.png,1765871416359.000,1765871416359000,
frame_000104.png,1765871416382.000,1765871416382000,
frame_000105.png,1765871416405.000,1765871416405000,
frame_000106.png,1765871416423.000,1765871416423000,
frame_000107.png,1765871416458.000,1765871416458000,
frame_000108.png,1765871416497.000,1765871416497000,
frame_000109.png,1765871416519.000,1765871416519000,
frame_000110.png,1765871416553.000,1765871416553000,
frame_000111.png,1765871416585.000,1765871416585000,
frame_000112.png,1765871416615.000,1765871416615000,
