ts_us,event,key,window
1765871407047105,down,Key.cmd,
1765871407094504,down,Key.tab,
1765871407246188,up,Key.tab,
1765871407806638,down,Key.tab,
1765871407906273,up,Key.cmd,
1765871407950498,up,Key.tab,
1765871408087318,down,Key.cmd,
1765871408529278,up,Key.cmd,
1765871411123893,down,t,
1765871411259452,up,t,
1765871411730637,down,u,
1765871411873844,up,u,
1765871412107776,down,s,
1765871412228103,up,s,
1765871412444260,down,h,
1765871412552058,down,a,
1765871412579647,up,h,
1765871412656260,down,r,
1765871412695648,up,a,
1765871412756005,up,r,
1765871412911644,down,Key.shift,
1765871413462762,up,Key.shift,
1765871413631630,down,1,
1765871413699266,down,3,
1765871413750746,up,1,
1765871413819459,up,3,
1765871413981191,down,9,
1765871414037290,down,1,
1765871414088829,up,9,
1765871414128878,up,1,
1765871414237121,down,Key.shift,
1765871414332229,down,@,
1765871414380537,up,Key.shift,
1765871414456369,up,2,
1765871414707086,down,g,
1765871414790526,up,g,
1765871414854330,down,m,
1765871414970648,up,m,
1765871414974199,down,a,
1765871415062524,down,i,
1765871415093941,up,a,
1765871415147243,down,l,
1765871415173664,up,i,
1765871415214407,up,l,
1765871415308178,down,.,
1765871415375631,up,.,
1765871415379596,down,c,
1765871415494696,up,c,
1765871415503497,down,o,
1765871415559669,down,m,
1765871415589475,up,o,
1765871415659416,up,m,
1765871415868400,down,Key.enter,
1765871416025166,up,Key.enter,
1765871418192856,down,Key.cmd,
1765871418329187,down,Key.tab,
1765871418365267,up,Key.cmd,
1765871418448453,up,Key.tab,
1765871419024614,down,Key.ctrl,
1765871419062138,down,c,
